Source;ValidFrom;Target;ValidTo;Label
CH;143;BQ;208;Edge 1
DN;88;BX;166;Edge 2
AU;116;BC;145;Edge 3
BK;28;BE;248;Edge 4
DP;40;CV;125;Edge 5
DA;81;CA;215;Edge 6
BK;94;AX;189;Edge 7
AF;85;AN;130;Edge 8
AW;69;AR;168;Edge 9
BP;18;BN;44;Edge 10
DT;22;BK;224;Edge 11
BX;198;AT;216;Edge 12
AL;101;DL;203;Edge 13
AS;65;CX;156;Edge 14
BD;132;CW;230;Edge 15
BJ;142;DS;212;Edge 16
CK;111;BW;237;Edge 17
AG;11;DS;48;Edge 18
CN;14;DR;50;Edge 19
DJ;122;DG;239;Edge 20
AB;59;DG;217;Edge 21
BF;181;CT;187;Edge 22
DA;89;BS;206;Edge 23
CQ;35;BC;224;Edge 24
DF;150;AO;227;Edge 25
CM;7;DK;163;Edge 26
DF;51;BG;159;Edge 27
BO;103;CC;142;Edge 28
DG;154;CM;188;Edge 29
BF;117;BK;199;Edge 30
BJ;67;AR;238;Edge 31
BI;60;CJ;193;Edge 32
BH;149;CG;154;Edge 33
CK;84;AH;86;Edge 34
DK;94;BI;106;Edge 35
DU;104;CJ;187;Edge 36
AM;17;DP;164;Edge 37
BO;70;DU;91;Edge 38
CP;164;AP;178;Edge 39
CC;84;BO;173;Edge 40
DQ;27;BC;32;Edge 41
DO;209;BL;219;Edge 42
DD;190;CI;195;Edge 43
BK;65;CU;167;Edge 44
CM;135;BV;226;Edge 45
CX;85;DV;240;Edge 46
CI;29;AJ;184;Edge 47
BJ;119;BT;133;Edge 48
CU;132;BY;181;Edge 49
AD;28;CD;245;Edge 50
BJ;23;CF;129;Edge 51
BA;152;BU;165;Edge 52
CL;95;AC;98;Edge 53
CV;233;AG;243;Edge 54
BJ;127;CL;209;Edge 55
AA;53;CF;57;Edge 56
BO;42;AX;92;Edge 57
BG;67;CC;163;Edge 58
BI;42;AS;196;Edge 59
DA;95;AK;124;Edge 60
AO;77;BK;126;Edge 61
BK;104;CA;236;Edge 62
AD;24;DQ;103;Edge 63
BK;148;CA;160;Edge 64
DC;45;BP;236;Edge 65
CH;193;DQ;197;Edge 66
BD;55;CF;122;Edge 67
AD;102;CP;199;Edge 68
CX;27;CO;205;Edge 69
DQ;149;DM;221;Edge 70
BE;110;CL;143;Edge 71
CW;17;AP;241;Edge 72
CT;179;BH;183;Edge 73
DP;14;CS;137;Edge 74
BC;20;AL;93;Edge 75
AA;131;AX;133;Edge 76
BT;72;AE;94;Edge 77
AJ;139;DF;173;Edge 78
BN;124;DL;139;Edge 79
DI;69;DK;198;Edge 80
DJ;9;BP;114;Edge 81
CY;92;AR;239;Edge 82
AD;124;CP;126;Edge 83
CS;187;BR;233;Edge 84
DE;57;BS;222;Edge 85
DK;33;AQ;85;Edge 86
BJ;12;DK;85;Edge 87
AM;175;BE;202;Edge 88
BE;27;AJ;87;Edge 89
AQ;27;BC;132;Edge 90
AY;6;AL;164;Edge 91
CE;119;BH;220;Edge 92
BS;78;CJ;135;Edge 93
BC;76;BE;185;Edge 94
BV;48;BM;163;Edge 95
AL;119;AS;195;Edge 96
DE;90;AG;128;Edge 97
BR;64;AF;82;Edge 98
AZ;104;AH;172;Edge 99
AC;26;BO;92;Edge 100
CE;149;CD;178;Edge 101
DL;179;DF;230;Edge 102
AE;104;CO;241;Edge 103
BM;39;CD;47;Edge 104
DE;141;CV;184;Edge 105
DR;16;BI;51;Edge 106
DD;160;AB;196;Edge 107
BW;60;DJ;223;Edge 108
AB;175;AA;245;Edge 109
DJ;85;BL;140;Edge 110
BK;21;CM;119;Edge 111
BQ;68;AS;111;Edge 112
